LipidName	LipidGroup	LipidClass	LipidSubClass	UnsaturationIndex	ChainLength	ChainLengthGroup	SL_LCB	SL_FA	SL_OH	CL_FA
IPC-C t38:0	SL	IPC	IPC	NA	38	NA	NA	NA	C	NA
IPC-C t40:0	SL	IPC	IPC	NA	40	NA	NA	NA	C	NA
IPC-C t42:0	SL	IPC	IPC	NA	42	NA	NA	NA	C	NA
IPC-C t44:0	SL	IPC	IPC	NA	44	NA	NA	NA	C	NA
IPC-C t46:0	SL	IPC	IPC	NA	46	NA	NA	NA	C	NA
IPC-C t48:0	SL	IPC	IPC	NA	48	NA	NA	NA	C	NA
IPC-D t32:0	SL	IPC	IPC	NA	32	NA	NA	NA	D	NA
IPC-D t34:0	SL	IPC	IPC	NA	34	NA	NA	NA	D	NA
IPC-D t36:0	SL	IPC	IPC	NA	36	NA	NA	NA	D	NA
IPC-D t38:0	SL	IPC	IPC	NA	38	NA	NA	NA	D	NA
IPC-D t40:0	SL	IPC	IPC	NA	40	NA	NA	NA	D	NA
IPC-D t42:0	SL	IPC	IPC	NA	42	NA	NA	NA	D	NA
IPC-D t44:0	SL	IPC	IPC	NA	44	NA	NA	NA	D	NA
IPC-D t46:0	SL	IPC	IPC	NA	46	NA	NA	NA	D	NA
IPC-D t48:0	SL	IPC	IPC	NA	48	NA	NA	NA	D	NA
LysoPC14:0	PL	PC	LysoPC	0_DB	14	short	NA	NA	NA	NA
LysoPC14:1	PL	PC	LysoPC	1_DB	14	short	NA	NA	NA	NA
LysoPC16:0	PL	PC	LysoPC	0_DB	16	short	NA	NA	NA	NA
LysoPC16:1	PL	PC	LysoPC	1_DB	16	short	NA	NA	NA	NA
LysoPC18:0	PL	PC	LysoPC	0_DB	18	long	NA	NA	NA	NA
LysoPC18:1	PL	PC	LysoPC	1_DB	18	long	NA	NA	NA	NA
LysoPC20:0	PL	PC	LysoPC	0_DB	20	long	NA	NA	NA	NA
LysoPC20:1	PL	PC	LysoPC	1_DB	20	long	NA	NA	NA	NA
LysoPC22:0	PL	PC	LysoPC	0_DB	22	long	NA	NA	NA	NA
LysoPC22:1	PL	PC	LysoPC	1_DB	22	long	NA	NA	NA	NA
LysoPC24:0	PL	PC	LysoPC	0_DB	24	very_long	NA	NA	NA	NA
LysoPC24:1	PL	PC	LysoPC	1_DB	24	very_long	NA	NA	NA	NA
LysoPC26:0	PL	PC	LysoPC	0_DB	26	very_long	NA	NA	NA	NA
LysoPC26:1	PL	PC	LysoPC	1_DB	26	very_long	NA	NA	NA	NA
LysoPC26:2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LysoPE14:0	PL	PE	LysoPE	0_DB	14	short	NA	NA	NA	NA
LysoPE14:1	PL	PE	LysoPE	1_DB	14	short	NA	NA	NA	NA
LysoPE16:0	PL	PE	LysoPE	0_DB	16	short	NA	NA	NA	NA
LysoPE16:1	PL	PE	LysoPE	1_DB	16	short	NA	NA	NA	NA
LysoPE18:0	PL	PE	LysoPE	0_DB	18	long	NA	NA	NA	NA
LysoPE18:1	PL	PE	LysoPE	1_DB	18	long	NA	NA	NA	NA
LysoPE20:0	PL	PE	LysoPE	0_DB	20	long	NA	NA	NA	NA
LysoPE20:1	PL	PE	LysoPE	1_DB	20	long	NA	NA	NA	NA
LysoPE22:0	PL	PE	LysoPE	0_DB	22	long	NA	NA	NA	NA
LysoPE22:1	PL	PE	LysoPE	1_DB	22	long	NA	NA	NA	NA
LysoPE24:0	PL	PE	LysoPE	0_DB	24	very_long	NA	NA	NA	NA
LysoPE24:1	PL	PE	LysoPE	1_DB	24	very_long	NA	NA	NA	NA
LysoPE26:0	PL	PE	LysoPE	0_DB	26	very_long	NA	NA	NA	NA
LysoPE26:1	PL	PE	LysoPE	1_DB	26	very_long	NA	NA	NA	NA
LysoPI14:0	PL	PI	LysoPI	0_DB	14	short	NA	NA	NA	NA
LysoPI14:1	PL	PI	LysoPI	1_DB	14	short	NA	NA	NA	NA
LysoPI16:0	PL	PI	LysoPI	0_DB	16	short	NA	NA	NA	NA
LysoPI16:1	PL	PI	LysoPI	1_DB	16	short	NA	NA	NA	NA
LysoPI18:0	PL	PI	LysoPI	0_DB	18	long	NA	NA	NA	NA
LysoPI18:1	PL	PI	LysoPI	1_DB	18	long	NA	NA	NA	NA
LysoPI20:0	PL	PI	LysoPI	0_DB	20	long	NA	NA	NA	NA
LysoPI20:1	PL	PI	LysoPI	1_DB	20	long	NA	NA	NA	NA
LysoPI22:0	PL	PI	LysoPI	0_DB	22	long	NA	NA	NA	NA
LysoPI22:1	PL	PI	LysoPI	1_DB	22	long	NA	NA	NA	NA
LysoPI24:0	PL	PI	LysoPI	0_DB	24	very_long	NA	NA	NA	NA
LysoPI24:1	PL	PI	LysoPI	1_DB	24	very_long	NA	NA	NA	NA
LysoPI26:0	PL	PI	LysoPI	0_DB	26	very_long	NA	NA	NA	NA
LysoPI26:1	PL	PI	LysoPI	1_DB	26	very_long	NA	NA	NA	NA
LysoPS14:0	PL	PS	LysoPS	0_DB	14	short	NA	NA	NA	NA
LysoPS14:1	PL	PS	LysoPS	1_DB	14	short	NA	NA	NA	NA
LysoPS16:0	PL	PS	LysoPS	0_DB	16	short	NA	NA	NA	NA
LysoPS16:1	PL	PS	LysoPS	1_DB	16	short	NA	NA	NA	NA
LysoPS18:0	PL	PS	LysoPS	0_DB	18	long	NA	NA	NA	NA
LysoPS18:1	PL	PS	LysoPS	1_DB	18	long	NA	NA	NA	NA
LysoPS20:0	PL	PS	LysoPS	0_DB	20	long	NA	NA	NA	NA
LysoPS20:1	PL	PS	LysoPS	1_DB	20	long	NA	NA	NA	NA
LysoPS22:0	PL	PS	LysoPS	0_DB	22	long	NA	NA	NA	NA
LysoPS22:1	PL	PS	LysoPS	1_DB	22	long	NA	NA	NA	NA
LysoPS24:0	PL	PS	LysoPS	0_DB	24	very_long	NA	NA	NA	NA
LysoPS24:1	PL	PS	LysoPS	1_DB	24	very_long	NA	NA	NA	NA
LysoPS26:0	PL	PS	LysoPS	0_DB	26	very_long	NA	NA	NA	NA
LysoPS26:1	PL	PS	LysoPS	1_DB	26	very_long	NA	NA	NA	NA
M(IP)2C-A d32:0	SL	MIP2C	MIP2C	NA	32	NA	NA	NA	A	NA
M(IP)2C-A d34:0	SL	MIP2C	MIP2C	NA	34	NA	NA	NA	A	NA
M(IP)2C-A d36:0	SL	MIP2C	MIP2C	NA	36	NA	NA	NA	A	NA
M(IP)2C-A d38:0	SL	MIP2C	MIP2C	NA	38	NA	NA	NA	A	NA
M(IP)2C-A d40:0	SL	MIP2C	MIP2C	NA	40	NA	NA	NA	A	NA
M(IP)2C-A d42:0	SL	MIP2C	MIP2C	NA	42	NA	NA	NA	A	NA
M(IP)2C-A d44:0	SL	MIP2C	MIP2C	NA	44	NA	NA	NA	A	NA
M(IP)2C-A d46:0	SL	MIP2C	MIP2C	NA	46	NA	NA	NA	A	NA
M(IP)2C-A d48:0	SL	MIP2C	MIP2C	NA	48	NA	NA	NA	A	NA
M(IP)2C-B d/t32:0	SL	MIP2C	MIP2C	NA	32	NA	NA	NA	B	NA
M(IP)2C-B d/t34:0	SL	MIP2C	MIP2C	NA	34	NA	NA	NA	B	NA
M(IP)2C-B d/t36:0	SL	MIP2C	MIP2C	NA	36	NA	NA	NA	B	NA
M(IP)2C-B d/t38:0	SL	MIP2C	MIP2C	NA	38	NA	NA	NA	B	NA
M(IP)2C-B d/t40:0	SL	MIP2C	MIP2C	NA	40	NA	NA	NA	B	NA
M(IP)2C-B d/t42:0	SL	MIP2C	MIP2C	NA	42	NA	NA	NA	B	NA
M(IP)2C-B d/t44:0	SL	MIP2C	MIP2C	NA	44	NA	NA	NA	B	NA
M(IP)2C-B d/t46:0	SL	MIP2C	MIP2C	NA	46	NA	NA	NA	B	NA
M(IP)2C-B d/t48:0	SL	MIP2C	MIP2C	NA	48	NA	NA	NA	B	NA
M(IP)2C-C t32:0	SL	MIP2C	MIP2C	NA	32	NA	NA	NA	C	NA
M(IP)2C-C t34:0	SL	MIP2C	MIP2C	NA	34	NA	NA	NA	C	NA
M(IP)2C-C t36:0	SL	MIP2C	MIP2C	NA	36	NA	NA	NA	C	NA
M(IP)2C-C t38:0	SL	MIP2C	MIP2C	NA	38	NA	NA	NA	C	NA
M(IP)2C-C t40:0	SL	MIP2C	MIP2C	NA	40	NA	NA	NA	C	NA
M(IP)2C-C t42:0	SL	MIP2C	MIP2C	NA	42	NA	NA	NA	C	NA
M(IP)2C-C t44:0	SL	MIP2C	MIP2C	NA	44	NA	NA	NA	C	NA
M(IP)2C-C t46:0	SL	MIP2C	MIP2C	NA	46	NA	NA	NA	C	NA
M(IP)2C-C t48:0	SL	MIP2C	MIP2C	NA	48	NA	NA	NA	C	NA
M(IP)2C-D t32:0	SL	MIP2C	MIP2C	NA	32	NA	NA	NA	D	NA
M(IP)2C-D t34:0	SL	MIP2C	MIP2C	NA	34	NA	NA	NA	D	NA
M(IP)2C-D t36:0	SL	MIP2C	MIP2C	NA	36	NA	NA	NA	D	NA
M(IP)2C-D t38:0	SL	MIP2C	MIP2C	NA	38	NA	NA	NA	D	NA
M(IP)2C-D t40:0	SL	MIP2C	MIP2C	NA	40	NA	NA	NA	D	NA
M(IP)2C-D t42:0	SL	MIP2C	MIP2C	NA	42	NA	NA	NA	D	NA
M(IP)2C-D t44:0	SL	MIP2C	MIP2C	NA	44	NA	NA	NA	D	NA
M(IP)2C-D t46:0	SL	MIP2C	MIP2C	NA	46	NA	NA	NA	D	NA
M(IP)2C-D t48:0	SL	MIP2C	MIP2C	NA	48	NA	NA	NA	D	NA
MIPC-A d32:0	SL	MIPC	MIPC	NA	32	NA	NA	NA	A	NA
MIPC-A d34:0	SL	MIPC	MIPC	NA	34	NA	NA	NA	A	NA
MIPC-A d36:0	SL	MIPC	MIPC	NA	36	NA	NA	NA	A	NA
MIPC-A d38:0	SL	MIPC	MIPC	NA	38	NA	NA	NA	A	NA
MIPC-A d40:0	SL	MIPC	MIPC	NA	40	NA	NA	NA	A	NA
MIPC-A d42:0	SL	MIPC	MIPC	NA	42	NA	NA	NA	A	NA
MIPC-A d44:0	SL	MIPC	MIPC	NA	44	NA	NA	NA	A	NA
MIPC-A d46:0	SL	MIPC	MIPC	NA	46	NA	NA	NA	A	NA
MIPC-A d48:0	SL	MIPC	MIPC	NA	48	NA	NA	NA	A	NA
MIPC-B d/t32:0	SL	MIPC	MIPC	NA	32	NA	NA	NA	B	NA
MIPC-B d/t34:0	SL	MIPC	MIPC	NA	34	NA	NA	NA	B	NA
